iter	Passed	Remaining
0	1	150
1	2	139
2	4	136
3	5	129
4	6	128
5	8	126
6	9	124
7	10	122
8	12	121
9	13	120
10	14	119
11	16	118
12	17	118
13	19	116
14	20	115
15	21	115
16	23	114
17	25	115
18	26	114
19	28	113
20	30	114
21	31	113
22	34	114
23	36	114
24	38	115
25	41	119
26	43	117
27	46	119
28	48	117
29	50	117
30	51	115
31	54	114
32	57	117
33	59	115
34	61	113
35	62	111
36	64	110
37	66	108
38	68	106
39	70	105
40	71	103
41	72	100
42	74	98
43	75	96
44	77	94
45	79	92
46	80	91
47	82	89
48	85	88
49	86	86
50	88	84
51	89	82
52	91	80
53	93	79
54	94	77
55	95	75
56	97	73
57	99	72
58	101	70
59	102	68
60	104	66
61	105	64
62	107	63
63	109	61
64	111	59
65	113	58
66	116	57
67	119	56
68	121	54
69	123	53
70	125	51
71	127	49
72	128	47
73	130	45
74	132	44
75	133	42
76	135	40
77	137	38
78	139	37
79	142	35
80	146	34
81	148	32
82	149	30
83	151	28
84	153	27
85	154	25
86	156	23
87	162	22
88	164	20
89	165	18
90	167	16
91	169	14
92	171	12
93	173	11
94	175	9
95	177	7
96	179	5
97	180	3
98	183	1
99	184	0
