iter	Passed	Remaining
0	993	992814
1	995	496679
2	997	331463
3	1001	249259
4	1005	200104
5	1007	166973
6	1011	143540
7	1014	125837
8	1016	111896
9	1027	101732
10	1030	92657
11	1032	84981
12	1035	78597
13	1037	73057
14	1049	68945
15	1052	64748
16	1056	61085
17	1058	57751
18	1060	54751
19	1063	52087
20	1064	49638
21	1067	47433
22	1069	45410
23	1070	43526
24	1072	41813
25	1073	40219
26	1075	38758
27	1078	37429
28	1081	36212
29	1082	35016
30	1084	33894
31	1085	32838
32	1086	31848
33	1098	31212
34	1100	30347
35	1102	29509
36	1103	28717
37	1104	27967
38	1107	27278
39	1113	26728
40	1117	26131
41	1119	25529
42	1125	25046
43	1132	24595
44	1134	24071
45	1135	23556
46	1137	23057
47	1138	22580
48	1139	22122
49	1149	21848
50	1160	21587
51	1162	21190
52	1164	20800
53	1165	20422
54	1167	20057
55	1168	19704
56	1172	19405
57	1175	19084
58	1176	18768
59	1178	18468
60	1181	18193
61	1183	17899
62	1184	17614
63	1185	17345
64	1188	17089
65	1189	16832
66	1191	16587
67	1193	16360
68	1194	16123
69	1196	15891
70	1197	15665
71	1198	15445
72	1199	15235
73	1202	15044
74	1205	14871
75	1207	14683
76	1209	14495
77	1210	14309
78	1211	14128
79	1213	13951
80	1222	13871
81	1225	13720
82	1226	13547
83	1227	13387
84	1229	13231
85	1230	13081
86	1234	12949
87	1236	12809
88	1238	12675
89	1240	12547
90	1244	12433
91	1246	12305
92	1248	12177
93	1250	12048
94	1251	11919
95	1252	11793
96	1253	11669
97	1254	11548
98	1256	11431
99	1257	11314
100	1258	11201
101	1261	11107
102	1264	11008
103	1265	10905
104	1267	10800
105	1268	10697
106	1270	10602
107	1271	10502
108	1273	10406
109	1276	10330
110	1278	10240
111	1279	10147
112	1280	10055
113	1282	9964
114	1283	9875
115	1284	9788
116	1285	9700
117	1286	9616
118	1287	9533
119	1290	9461
120	1292	9386
121	1293	9309
122	1294	9233
123	1296	9156
124	1297	9081
125	1298	9007
126	1299	8933
127	1300	8860
128	1301	8789
129	1303	8724
130	1306	8667
131	1307	8599
132	1308	8532
133	1310	8466
134	1311	8401
135	1312	8337
136	1313	8274
137	1314	8212
138	1315	8150
139	1317	8090
140	1319	8038
141	1320	7979
142	1321	7922
143	1323	7864
144	1324	7808
145	1325	7752
146	1326	7696
147	1327	7642
148	1328	7589
149	1329	7535
150	1331	7483
151	1332	7432
152	1334	7385
153	1335	7339
154	1337	7291
155	1339	7245
156	1340	7196
157	1341	7148
158	1342	7101
159	1343	7054
160	1344	7006
161	1345	6960
162	1346	6915
163	1348	6872
164	1351	6839
165	1352	6796
166	1354	6754
167	1355	6713
168	1356	6672
169	1358	6630
170	1359	6590
171	1360	6549
172	1361	6509
173	1363	6474
174	1365	6437
175	1367	6400
176	1368	6363
177	1369	6326
178	1371	6290
179	1372	6252
180	1373	6215
181	1374	6179
182	1375	6143
183	1377	6109
184	1380	6079
185	1381	6046
186	1383	6013
187	1384	5979
188	1385	5945
189	1386	5911
190	1387	5878
191	1389	5845
192	1390	5812
193	1391	5780
194	1393	5754
195	1395	5724
196	1396	5692
197	1397	5661
198	1398	5630
199	1400	5600
200	1401	5570
201	1402	5540
202	1403	5510
203	1404	5480
204	1405	5452
205	1407	5426
206	1409	5400
207	1410	5372
208	1411	5343
209	1413	5315
210	1414	5288
211	1415	5261
212	1416	5233
213	1417	5207
214	1418	5180
215	1419	5153
216	1421	5129
217	1423	5106
218	1425	5083
219	1426	5058
220	1428	5033
221	1429	5008
222	1430	4983
223	1431	4958
224	1432	4934
225	1433	4910
226	1435	4886
227	1437	4868
228	1439	4844
229	1440	4821
230	1441	4798
231	1442	4775
232	1443	4752
233	1444	4729
234	1445	4707
235	1447	4684
236	1448	4663
237	1449	4641
238	1451	4622
239	1453	4602
240	1454	4582
241	1456	4561
242	1457	4540
243	1459	4520
244	1460	4499
245	1461	4479
246	1462	4458
247	1463	4438
248	1465	4420
249	1467	4403
250	1469	4384
251	1471	4366
252	1472	4346
253	1473	4327
254	1474	4308
255	1475	4289
256	1497	4329
257	1498	4310
258	1499	4291
259	1501	4272
260	1502	4253
261	1503	4234
262	1504	4216
263	1505	4197
264	1507	4180
265	1509	4166
266	1511	4148
267	1512	4130
268	1513	4112
269	1514	4094
270	1515	4077
271	1516	4059
272	1517	4042
273	1519	4024
274	1520	4007
275	1523	3996
276	1524	3980
277	1526	3963
278	1527	3946
279	1528	3930
280	1529	3913
281	1530	3897
282	1532	3882
283	1533	3866
284	1534	3850
285	1535	3834
286	1538	3821
287	1540	3808
288	1542	3794
289	1543	3778
290	1544	3763
291	1546	3749
292	1547	3734
293	1548	3719
294	1550	3704
295	1553	3694
296	1555	3680
297	1556	3667
298	1558	3653
299	1559	3638
300	1560	3624
301	1561	3609
302	1563	3595
303	1564	3581
304	1565	3568
305	1569	3559
306	1570	3545
307	1571	3530
308	1572	3516
309	1573	3503
310	1574	3489
311	1576	3475
